CustomerID,InvoiceDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.00,2011-01-18 10:01:00,325,1,77183.60,1,1,5,7,Potential Loyalists
12347.00,2011-12-07 15:52:00,1,7,4310.00,5,5,5,15,Champions
12348.00,2011-09-25 13:13:00,74,4,1797.24,2,4,4,10,Loyal Customers
12349.00,2011-11-21 09:51:00,18,1,1757.55,4,1,4,9,Potential Loyalists
12350.00,2011-02-02 16:01:00,309,1,334.40,1,1,2,4,Lost Customers
12352.00,2011-11-03 14:37:00,35,8,2506.04,3,5,5,13,Champions
12353.00,2011-05-19 17:47:00,203,1,89.00,1,1,1,3,Lost Customers
12354.00,2011-04-21 13:11:00,231,1,1079.40,1,1,4,6,At Risk
12355.00,2011-05-09 13:49:00,213,1,459.40,1,1,2,4,Lost Customers
12356.00,2011-11-17 08:40:00,22,3,2811.43,4,3,5,12,Loyal Customers
12357.00,2011-11-06 16:07:00,32,1,6207.67,4,1,5,10,Loyal Customers
12358.00,2011-12-08 10:26:00,1,2,1168.06,5,2,4,11,Loyal Customers
12359.00,2011-10-13 12:47:00,57,4,6372.58,3,4,5,12,Loyal Customers
12360.00,2011-10-18 15:22:00,51,3,2662.06,3,3,5,11,Loyal Customers
12361.00,2011-02-25 13:51:00,286,1,189.90,1,1,1,3,Lost Customers
12362.00,2011-12-06 15:40:00,2,10,5226.23,5,5,5,15,Champions
12363.00,2011-08-22 10:18:00,109,2,552.00,2,2,3,7,Potential Loyalists
12364.00,2011-12-02 10:22:00,7,4,1313.10,5,4,4,13,Champions
12365.00,2011-02-21 14:04:00,290,2,641.38,1,2,3,6,At Risk
12367.00,2011-12-05 16:48:00,3,1,168.90,5,1,1,7,Potential Loyalists
12370.00,2011-10-19 14:51:00,50,4,3545.69,3,4,5,12,Loyal Customers
12371.00,2011-10-26 10:16:00,44,2,1887.96,3,2,4,9,Potential Loyalists
12372.00,2011-09-29 12:12:00,71,3,1298.04,3,3,4,10,Loyal Customers
12373.00,2011-02-01 13:10:00,310,1,364.60,1,1,2,4,Lost Customers
12374.00,2011-11-14 15:37:00,24,1,742.93,4,1,3,8,Potential Loyalists
12375.00,2011-11-29 10:36:00,10,2,457.50,5,2,2,9,Potential Loyalists
12377.00,2011-01-28 15:45:00,314,2,1628.12,1,2,4,7,Potential Loyalists
12378.00,2011-08-02 10:34:00,129,1,4008.62,2,1,5,8,Potential Loyalists
12379.00,2011-09-19 10:09:00,81,2,852.24,2,2,3,7,Potential Loyalists
12380.00,2011-11-18 11:27:00,21,4,2724.81,4,4,5,13,Champions
12381.00,2011-12-05 12:44:00,4,5,1845.31,5,4,4,13,Champions
12383.00,2011-06-08 08:02:00,184,5,1850.56,1,4,4,9,Potential Loyalists
12384.00,2011-11-11 08:39:00,28,2,585.27,4,2,3,9,Potential Loyalists
12386.00,2011-01-06 12:37:00,337,2,401.90,1,2,2,5,At Risk
12388.00,2011-11-24 12:30:00,15,6,2780.66,4,4,5,13,Champions
12390.00,2011-09-21 09:33:00,79,1,549.84,2,1,3,6,At Risk
12391.00,2011-11-18 12:07:00,21,1,460.89,4,1,2,7,Potential Loyalists
12393.00,2011-09-28 15:41:00,71,4,1582.60,3,4,4,11,Loyal Customers
12394.00,2011-10-07 08:08:00,63,2,1272.48,3,2,4,9,Potential Loyalists
12395.00,2011-11-20 15:21:00,18,12,3018.63,4,5,5,14,Champions
12397.00,2011-11-04 09:52:00,35,2,2409.90,3,2,5,10,Loyal Customers
12398.00,2011-10-25 10:27:00,45,1,1635.66,3,1,4,8,Potential Loyalists
12399.00,2011-08-12 13:15:00,118,4,1108.65,2,4,4,10,Loyal Customers
12401.00,2011-02-09 13:50:00,302,1,84.30,1,1,1,3,Lost Customers
12402.00,2011-01-20 13:49:00,322,1,225.60,1,1,1,3,Lost Customers
12403.00,2011-10-21 10:51:00,49,1,427.70,3,1,2,6,At Risk
12405.00,2011-07-14 08:52:00,148,1,1710.39,2,1,4,7,Potential Loyalists
12406.00,2011-11-17 19:22:00,21,2,3415.30,4,2,5,11,Loyal Customers
12407.00,2011-10-21 10:11:00,49,5,1708.12,3,4,4,11,Loyal Customers
12408.00,2011-11-07 12:27:00,32,5,2888.55,4,4,5,13,Champions
12409.00,2011-09-22 10:38:00,78,3,11072.67,2,3,5,10,Loyal Customers
12410.00,2011-02-04 10:39:00,308,2,693.33,1,2,3,6,At Risk
12412.00,2011-09-26 10:16:00,74,3,1226.88,2,3,4,9,Potential Loyalists
12413.00,2011-10-04 09:00:00,66,3,758.10,3,3,3,9,Potential Loyalists
12414.00,2011-05-06 14:51:00,216,3,562.41,1,3,3,7,Potential Loyalists
12415.00,2011-11-15 14:22:00,23,21,124914.53,4,5,5,14,Champions
12417.00,2011-12-06 14:52:00,2,9,3649.10,5,5,5,15,Champions
12418.00,2011-08-19 11:08:00,112,1,668.58,2,1,3,6,At Risk
12420.00,2011-10-07 08:55:00,63,1,600.39,3,1,3,7,Potential Loyalists
12421.00,2011-11-24 09:07:00,15,4,807.04,4,4,3,11,Loyal Customers
12422.00,2011-09-05 09:48:00,95,3,803.56,2,3,3,8,Potential Loyalists
12423.00,2011-12-09 10:10:00,0,8,1859.31,5,5,4,14,Champions
12424.00,2011-06-30 12:06:00,162,2,1760.96,2,2,4,8,Potential Loyalists
12425.00,2011-09-22 17:31:00,77,1,777.20,2,1,3,6,At Risk
12426.00,2011-05-29 12:26:00,194,1,582.73,1,1,3,5,At Risk
12427.00,2011-11-18 08:56:00,21,3,825.80,4,3,3,10,Loyal Customers
12428.00,2011-11-14 08:22:00,25,9,7956.46,4,5,5,14,Champions
12429.00,2011-11-30 17:22:00,8,4,3750.40,5,4,5,14,Champions
12430.00,2011-10-27 15:09:00,42,1,256.40,3,1,2,6,At Risk
12431.00,2011-11-04 11:55:00,35,15,6487.45,3,5,5,13,Champions
12432.00,2011-10-28 11:43:00,42,5,5059.32,3,4,5,12,Loyal Customers
12433.00,2011-12-09 10:02:00,0,7,13375.87,5,5,5,15,Champions
12434.00,2011-09-16 12:38:00,84,2,806.14,2,2,3,7,Potential Loyalists
12435.00,2011-09-21 09:06:00,79,2,7829.89,2,2,5,9,Potential Loyalists
12436.00,2011-09-01 12:09:00,99,1,509.01,2,1,3,6,At Risk
12437.00,2011-12-08 11:35:00,1,18,4951.41,5,5,5,15,Champions
12438.00,2011-11-25 13:28:00,13,2,2906.85,4,2,5,11,Loyal Customers
12441.00,2010-12-08 10:45:00,366,1,173.55,1,1,1,3,Lost Customers
12442.00,2011-12-06 14:22:00,2,1,172.06,5,1,1,7,Potential Loyalists
12444.00,2011-11-18 13:23:00,20,5,5005.46,4,4,5,13,Champions
12445.00,2011-11-17 18:43:00,21,1,133.40,4,1,1,6,At Risk
12446.00,2011-10-13 12:50:00,57,1,1002.31,3,1,4,8,Potential Loyalists
12447.00,2011-04-10 13:25:00,242,1,476.49,1,1,2,4,Lost Customers
12448.00,2011-10-26 13:46:00,43,1,449.45,3,1,2,6,At Risk
12449.00,2011-11-17 13:46:00,21,4,4067.29,4,4,5,13,Champions
12450.00,2011-07-06 14:41:00,155,2,197.88,2,2,1,5,At Risk
12451.00,2011-11-29 08:40:00,10,5,9035.52,5,4,5,14,Champions
12452.00,2011-11-23 10:28:00,16,2,430.57,4,2,2,8,Potential Loyalists
12453.00,2011-07-28 14:08:00,133,1,707.09,2,1,3,6,At Risk
12454.00,2011-10-14 17:13:00,55,1,3528.34,3,1,5,9,Potential Loyalists
12455.00,2011-09-27 15:31:00,72,6,2466.86,2,4,5,11,Loyal Customers
12456.00,2011-10-26 14:41:00,43,3,3181.04,3,3,5,11,Loyal Customers
12457.00,2011-10-04 13:13:00,65,7,2363.23,3,5,5,13,Champions
12458.00,2011-09-29 15:25:00,70,2,947.40,3,2,4,9,Potential Loyalists
12461.00,2011-09-06 16:57:00,93,2,826.88,2,2,3,7,Potential Loyalists
12462.00,2011-11-21 09:11:00,18,2,1189.59,4,2,4,10,Loyal Customers
12463.00,2011-10-17 13:44:00,52,4,1344.78,3,4,4,11,Loyal Customers
12464.00,2011-11-29 13:33:00,9,8,1212.05,5,5,4,14,Champions
12465.00,2011-11-22 16:34:00,16,2,742.19,4,2,3,9,Potential Loyalists
12468.00,2011-06-05 11:36:00,187,2,729.54,1,2,3,6,At Risk
12471.00,2011-12-07 15:43:00,1,30,19824.05,5,5,5,15,Champions
12472.00,2011-11-07 14:01:00,31,7,6572.11,4,5,5,14,Champions
12473.00,2011-11-10 13:46:00,28,5,3938.55,4,4,5,13,Champions
12474.00,2011-11-22 14:39:00,16,18,7375.79,4,5,5,14,Champions
12475.00,2011-10-17 10:10:00,53,1,723.38,3,1,3,7,Potential Loyalists
12476.00,2011-11-24 12:40:00,15,11,6816.42,4,5,5,14,Champions
12477.00,2011-11-17 09:51:00,22,6,13219.74,4,4,5,13,Champions
12478.00,2011-12-06 09:56:00,3,1,680.99,5,1,3,9,Potential Loyalists
12479.00,2011-11-28 13:26:00,10,1,527.20,5,1,3,9,Potential Loyalists
12480.00,2011-11-11 14:52:00,27,4,3281.63,4,4,5,13,Champions
12481.00,2011-11-17 08:29:00,22,10,5596.32,4,5,5,14,Champions
12483.00,2011-11-22 17:02:00,16,8,2484.98,4,5,5,14,Champions
12484.00,2011-11-07 11:37:00,32,6,4541.72,4,4,5,13,Champions
12488.00,2011-11-30 08:50:00,9,3,1298.66,5,3,4,12,Loyal Customers
12489.00,2011-01-07 13:13:00,335,1,334.93,1,1,2,4,Lost Customers
12490.00,2011-12-04 16:07:00,4,10,5417.93,5,5,5,15,Champions
12491.00,2011-11-01 12:18:00,38,1,460.40,3,1,2,6,At Risk
12492.00,2011-10-07 15:15:00,62,2,263.21,3,2,2,7,Potential Loyalists
12493.00,2011-06-27 10:17:00,165,2,433.74,2,2,2,6,At Risk
12494.00,2011-11-24 09:34:00,15,7,1246.10,4,5,4,13,Champions
12497.00,2011-09-19 12:29:00,81,1,1043.10,2,1,4,7,Potential Loyalists
12498.00,2011-11-18 12:53:00,20,3,403.70,4,3,2,9,Potential Loyalists
12500.00,2011-11-16 16:20:00,22,11,4257.82,4,5,5,14,Champions
12501.00,2011-01-07 12:28:00,336,1,2169.39,1,1,5,7,Potential Loyalists
12502.00,2011-09-05 11:52:00,95,5,3723.87,2,4,5,11,Loyal Customers
12504.00,2011-11-21 16:02:00,17,2,482.05,4,2,2,8,Potential Loyalists
12506.00,2011-04-21 08:54:00,232,1,73.50,1,1,1,3,Lost Customers
12507.00,2011-07-28 17:09:00,133,3,1304.81,2,3,4,9,Potential Loyalists
12508.00,2011-11-13 15:37:00,25,2,398.27,4,2,2,8,Potential Loyalists
12509.00,2011-02-28 14:45:00,283,1,176.50,1,1,1,3,Lost Customers
12510.00,2011-07-20 10:15:00,142,2,982.57,2,2,4,8,Potential Loyalists
12512.00,2011-10-04 14:55:00,65,2,138.03,3,2,1,6,At Risk
12513.00,2011-08-19 10:51:00,112,1,612.29,2,1,3,6,At Risk
12514.00,2011-03-17 16:38:00,266,1,1017.68,1,1,4,6,At Risk
12515.00,2010-12-21 15:43:00,352,1,383.70,1,1,2,4,Lost Customers
12516.00,2011-09-23 09:13:00,77,2,1312.06,2,2,4,8,Potential Loyalists
12517.00,2011-11-11 14:04:00,27,5,2502.84,4,4,5,13,Champions
12518.00,2011-12-09 10:13:00,0,5,2056.89,5,4,4,13,Champions
12519.00,2011-10-07 09:26:00,63,1,340.84,3,1,2,6,At Risk
12520.00,2011-09-21 15:23:00,78,5,2634.26,2,4,5,11,Loyal Customers
12521.00,2011-07-20 10:51:00,142,1,599.68,2,1,3,6,At Risk
